7zip 26.03-1
spice 0.16.0-4
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.357.0-1
sqlcipher 4.18.0-1
sqlite 3.53.4-1
sqlitebrowser 3.13.1-3
sratom 0.6.22-1
srt 1.5.7-1
startup-notification 0.12-9
steam 1.0.0.87-3
steam-devices 1.0.0.87-3
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
sway 1:1.12-4
swaybg 1.2.2-1
swayidle 1.9.0-1
swayimg 5.6-1
systemd 261.3-1
systemd-libs 261.3-1
systemd-sysvcompat 261.3-1
taglib 2.3.2-1
tar 1.35-5
tcl 8.6.16-1
tdb 1.4.15-2
texinfo 7.3-1
timeshift 25.12.4-1
tinysparql 3.11.1-1
tk 8.6.16-1
tlp 1.10.2-1
tlp-rdw 1.10.2-1
tmux 3.7_c-1
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-carlito 20230509-2
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.5.1-1
ttf-nerd-fonts-symbols-common 3.5.1-1
twolame 0.4.0-4
typescript 6.0.3-1
typescript-language-server 6.0.0-1
tzdata 2026d-1
uchardet 0.0.8-4
udisks2 2.11.2-1
ueberzugpp 2.9.10-1
ufw 0.36.2-7
unibilium 2.1.4-1
unzip 6.0-23
upower 1.91.4-1
usbredir 0.15.0-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.3-1
util-linux-libs 2.42.3-1
v4l-utils 1.32.0-2
vapoursynth 79-1
vde2 2.3.3-9
verdict 1.4.5-2
vid.stab 1.1.2-1
vim 9.2.1046-1
vim-runtime 9.2.1046-1
virglrenderer 1.3.0-2
virt-install 5.1.0-4
virt-manager 5.1.0-4
virtiofsd 1.14.0-1
vmaf 3.2.1-1
volume_key 0.3.12-12
vte-common 0.84.1-1
vte3 0.84.1-1
vulkan-icd-loader 1.4.357.0-1
vulkan-intel 1:26.2.3-1
vulkan-mesa-implicit-layers 1:26.2.3-1
vulkan-nouveau 1:26.2.3-1
vulkan-radeon 1:26.2.3-1
wavpack 5.9.0-1
waybar 0.15.0-3
wayland 1.26.0-1
wayland-protocols 1.49-1
wdisplays 1.1.3-2
webkitgtk-6.0 2.52.6-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-6
which 2.25-1
wireless_tools 30.pre9-5
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
wl-mirror 0.18.5-1
wlroots0.20 0.20.2-1
woff2 1.0.2-6
wolfssl 5.9.2-1
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xapp 3.2.3-1
xapp-symbolic-icons 1.1.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-wlr 0.8.4-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xkeyboard-config 2.48-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.12-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.4-1
xz 5.8.4-1
yazi 26.9.1-2
yyjson 0.13.0-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zip 3.0-14
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-syntax-highlighting 0.8.0-2
zstd 1.5.7-3
zxing-cpp 3.1.1-1
